,location,Omicron_perc,Omicron_perc_calibrated,Omicron_conc,background_perc,Omicron_frac,Omicron_frac_calibrated
0,1,100.0,100.0,30.0,0.0,1.0,1.0
1,2,91.6,88.324,27.5,8.4,0.9159999999999999,0.88324
2,3,83.3,77.469,25.0,16.7,0.833,0.77469
3,4,66.6,57.9,20.0,33.4,0.6659999999999999,0.579
4,5,58.3,49.05,17.5,41.7,0.583,0.4905
5,6,50.0,40.748,15.0,50.0,0.5,0.40747999999999995
6,7,25.0,18.648,7.5,75.0,0.25,0.18648
7,8,12.5,8.945,3.75,87.5,0.125,0.08945
8,9,6.25,4.384,1.875,93.75,0.0625,0.043840000000000004
9,10,3.125,2.17,0.9375,96.875,0.03125,0.0217
10,11,1.625,1.078,0.6875,98.4375,0.01625,0.010780000000000001
11,12,0.0,0.0,0.0,100.0,0.0,0.0
